vehicle_id,avg_lap_time,best_lap_time,consistency_score,performance_rank,gap_to_fastest,total_laps,qualifying_position,predicted_finish_position,pit_stop_recommended_lap,tire_strategy,fuel_strategy,race_competitiveness
GR86-002-2,935.8330000000001,394.717,18.227548503089793,31.0,822.9382333333334,2,31,31,13,single_stint,conservative,low
GR86-004-78,169.7164736842105,149.245,79.81887461951612,13.0,56.82170701754386,19,13,13,13,two_stint,conservative,low
GR86-006-7,112.89476666666665,0.0,11.474546940009233,1.0,0.0,24,1,1,13,two_stint,conservative,high
GR86-010-16,161.32266666666666,0.0,51.369273182025196,11.0,48.42790000000001,19,11,11,13,two_stint,conservative,low
GR86-012-8,130.56644,0.0,35.71276191493749,3.0,17.671673333333345,22,3,3,13,two_stint,conservative,low
GR86-013-80,170.60694736842106,152.216,82.80145047022249,18.0,57.712180701754406,19,18,18,13,two_stint,conservative,low
GR86-015-31,190.48923529411763,0.0,17.09810191877223,28.0,77.59446862745098,16,28,28,13,two_stint,conservative,low
GR86-016-55,180.57589473684212,148.656,64.55265182091104,26.0,67.68112807017546,19,26,26,13,two_stint,conservative,low
GR86-021-86,170.03305263157895,153.316,82.4782452273533,15.0,57.1382859649123,19,15,15,13,two_stint,conservative,low
GR86-022-13,147.85926086956522,0.0,39.9540350321405,7.0,34.964494202898564,21,7,7,13,two_stint,conservative,low
GR86-024-41,140.45747826086955,0.0,47.9576552964456,5.0,27.562711594202895,21,5,5,13,two_stint,conservative,low
GR86-025-47,153.85923809523808,0.044,60.6198073048372,9.0,40.96447142857143,21,9,9,13,two_stint,conservative,low
GR86-026-72,169.33221052631578,148.685,79.85917537340178,12.0,56.43744385964912,19,12,12,13,two_stint,conservative,low
GR86-028-89,171.72947368421055,149.755,78.7226152199532,21.0,58.83470701754389,19,21,21,13,two_stint,conservative,low
GR86-029-14,170.05915789473684,150.301,80.25160660511276,16.0,57.16439122807019,19,16,16,13,two_stint,conservative,low
GR86-030-18,155.9017619047619,0.0,61.13169966574097,10.0,43.00699523809526,20,10,10,13,two_stint,conservative,low
GR86-032-15,207.70828571428572,151.778,49.474021736300045,29.0,94.81351904761907,7,29,29,13,single_stint,conservative,low
GR86-033-46,135.39336,0.0,30.375794118453697,4.0,22.498593333333346,22,4,4,13,two_stint,conservative,low
GR86-035-11,231.53666666666666,152.01,-0.49446856095104863,30.0,118.6419,12,30,30,13,single_stint,conservative,low
GR86-036-98,148.84395454545455,0.0,57.15942707988916,8.0,35.949187878787896,21,8,8,13,two_stint,conservative,low
GR86-037-03,170.28563157894737,151.2,80.78842459091658,17.0,57.39086491228072,19,17,17,13,two_stint,conservative,low
GR86-038-93,170.65973684210525,151.196,80.00957557910087,19.0,57.76497017543859,19,19,19,13,two_stint,conservative,low
GR86-040-3,171.76047368421052,151.924,79.15621536917297,22.0,58.86570701754387,19,22,22,13,two_stint,conservative,low
GR86-041-73,172.29242105263157,152.091,80.4969440826207,23.0,59.39765438596491,19,23,23,13,two_stint,conservative,low
GR86-047-21,170.006,148.983,79.79206418081658,14.0,57.111233333333345,19,14,14,13,two_stint,conservative,low
GR86-049-88,141.70834782608696,0.0,50.41715471915353,6.0,28.81358115942031,21,6,6,13,two_stint,conservative,low
GR86-051-71,174.8198888888889,34.316,54.73101692422094,24.0,61.92512222222224,18,24,24,13,two_stint,conservative,low
GR86-057-57,171.60636842105265,153.6,80.38135609922853,20.0,58.711601754385995,19,20,20,13,two_stint,conservative,low
GR86-061-51,189.11757142857144,153.604,51.41783466197734,27.0,76.22280476190478,14,27,27,13,single_stint,conservative,low
GR86-063-113,175.7427894736842,149.84,74.11133642277412,25.0,62.84802280701756,19,25,25,13,two_stint,conservative,low
GR86-065-5,129.85476,0.0,38.27813254783516,2.0,16.959993333333344,22,2,2,13,two_stint,conservative,low
